Weekly Income,Car,Rail,Bus,Total
no income,29293,1403,1100,34944
$1-$149,140810,5016,8648,169033
$150-$299,163860,8490,9547,196154
$300-$399,185679,11291,9662,221015
$400-$499,255970,15676,12015,300747
$500-$649,463639,25748,17987,533761
$650-$799,646996,32607,19583,730337
$800-$999,933606,42759,23186,1036725
"$1,000-$1,249",1078897,47110,23520,1187449
"$1,250-$1,499",793658,34241,17753,871924
"$1,500-$1,749",667099,27602,15235,731793
"$1,750-$1,999",477094,20559,12448,525818
"$2,000-$2,999",730279,37393,25916,819303
"$3,000-$3,499",146151,8384,6337,166643
"$3,500 or more",244902,12339,8021,276744
